episode,timestep,reward,length,score,pg_loss,v_loss
450,25703,13.90,132,2,-0.0029,0.8113
451,25765,6.00,62,1,-0.0029,0.8113
452,25887,12.90,122,2,-0.0029,0.8113
453,25973,8.40,86,1,-0.0029,0.8113
454,26031,4.70,58,0,-0.0029,0.8113
455,26153,12.90,122,2,-0.0029,0.8113
456,26207,4.30,54,0,-0.0029,0.8113
457,26272,6.30,65,1,-0.0029,0.8113
458,26326,4.30,54,0,-0.0029,0.8113
459,26382,4.50,56,0,-0.0029,0.8113
460,26488,11.30,106,2,-0.0029,0.8113
461,26574,8.40,86,1,-0.0029,0.8113
462,26660,8.40,86,1,-0.0027,0.8561
463,26757,9.50,97,2,-0.0027,0.8561
464,26808,4.00,51,0,-0.0027,0.8561
465,26864,4.50,56,0,-0.0027,0.8561
466,26914,3.90,50,0,-0.0027,0.8561
467,26964,3.90,50,0,-0.0027,0.8561
468,27050,8.40,86,1,-0.0027,0.8561
469,27111,5.00,61,1,-0.0027,0.8561
470,27237,13.30,126,2,-0.0027,0.8561
471,27323,8.40,86,1,-0.0027,0.8561
472,27418,9.30,95,1,-0.0027,0.8561
473,27485,6.50,67,1,-0.0027,0.8561
474,27578,9.10,93,1,-0.0027,0.8561
475,27638,4.90,60,0,-0.0027,0.8561
476,27701,6.10,63,1,-0.0027,0.8561
477,27823,12.90,122,2,-0.0027,0.8561
478,27873,3.90,50,0,-0.0027,0.8561
479,27943,6.80,70,1,-0.0027,0.8561
480,28048,11.20,105,2,-0.0027,0.8561
481,28109,5.00,61,1,-0.0027,0.8561
482,28195,8.40,86,1,-0.0027,0.8561
483,28249,4.30,54,0,-0.0027,0.8561
484,28303,4.30,54,0,-0.0027,0.8561
485,28363,4.90,60,0,-0.0027,0.8561
486,28489,13.30,126,2,-0.0027,0.8561
487,28559,6.80,70,1,-0.0027,0.8561
488,28611,4.10,52,0,-0.0027,0.8561
489,28670,4.80,59,0,-0.0027,0.8561
490,28756,8.40,86,1,-0.0012,0.8729
491,28821,6.30,65,1,-0.0012,0.8729
492,28890,6.70,69,1,-0.0012,0.8729
493,28946,4.50,56,0,-0.0012,0.8729
494,29033,8.50,87,1,-0.0012,0.8729
495,29087,4.30,54,0,-0.0012,0.8729
496,29142,4.40,55,0,-0.0012,0.8729
497,29192,3.90,50,0,-0.0012,0.8729
498,29278,8.40,86,1,-0.0012,0.8729
499,29338,4.90,60,0,-0.0012,0.8729
500,29388,3.90,50,0,-0.0012,0.8729
501,29440,4.10,52,0,-0.0012,0.8729
502,29543,11.00,103,2,-0.0012,0.8729
503,29603,4.90,60,0,-0.0012,0.8729
504,29653,3.90,50,0,-0.0012,0.8729
505,29739,8.40,86,1,-0.0012,0.8729
506,29789,3.90,50,0,-0.0012,0.8729
507,29879,8.80,90,1,-0.0012,0.8729
508,29932,4.20,53,0,-0.0012,0.8729
509,29988,4.50,56,0,-0.0012,0.8729
510,30054,6.40,66,1,-0.0012,0.8729
511,30106,4.10,52,0,-0.0012,0.8729
512,30248,15.80,142,3,-0.0012,0.8729
513,30316,6.60,68,1,-0.0012,0.8729
514,30383,6.50,67,1,-0.0012,0.8729
515,30441,4.70,58,0,-0.0012,0.8729
516,30527,8.40,86,1,-0.0012,0.8729
517,30614,8.50,87,1,-0.0012,0.8729
518,30683,6.70,69,1,-0.0012,0.8729
519,30733,3.90,50,0,-0.0018,0.7854
520,30783,3.90,50,0,-0.0018,0.7854
521,30833,3.90,50,0,-0.0018,0.7854
522,30889,4.50,56,0,-0.0018,0.7854
523,30991,10.90,102,2,-0.0018,0.7854
524,31049,4.70,58,0,-0.0018,0.7854
525,31111,6.00,62,1,-0.0018,0.7854
526,31321,23.50,210,4,-0.0018,0.7854
527,31484,17.90,163,3,-0.0018,0.7854
528,31543,4.80,59,0,-0.0018,0.7854
529,31636,9.10,93,1,-0.0018,0.7854
530,31689,4.20,53,0,-0.0018,0.7854
531,31786,9.50,97,2,-0.0018,0.7854
532,31872,8.40,86,1,-0.0018,0.7854
533,31968,9.40,96,1,-0.0018,0.7854
534,32018,3.90,50,0,-0.0018,0.7854
535,32108,8.80,90,1,-0.0018,0.7854
536,32160,4.10,52,0,-0.0018,0.7854
537,32215,4.40,55,0,-0.0018,0.7854
538,32268,4.20,53,0,-0.0018,0.7854
539,32327,4.80,59,0,-0.0018,0.7854
540,32379,4.10,52,0,-0.0018,0.7854
541,32465,8.40,86,1,-0.0018,0.7854
542,32515,3.90,50,0,-0.0018,0.7854
543,32637,12.90,122,2,-0.0018,0.7854
544,32699,6.00,62,1,-0.0018,0.7854
545,32768,6.70,69,1,-0.0018,0.7854
546,32861,9.10,93,1,-0.0004,1.0078
547,32911,3.90,50,0,-0.0004,1.0078
548,32969,4.70,58,0,-0.0004,1.0078
549,33091,12.90,122,2,-0.0004,1.0078
550,33180,8.70,89,1,-0.0004,1.0078
551,33235,4.40,55,0,-0.0004,1.0078
552,33329,9.20,94,1,-0.0004,1.0078
553,33379,3.90,50,0,-0.0004,1.0078
554,33441,6.00,62,1,-0.0004,1.0078
555,33499,4.70,58,0,-0.0004,1.0078
556,33621,12.90,122,2,-0.0004,1.0078
557,33677,4.50,56,0,-0.0004,1.0078
558,33740,6.10,63,1,-0.0004,1.0078
559,33795,4.40,55,0,-0.0004,1.0078
560,33881,8.40,86,1,-0.0004,1.0078
561,33948,6.50,67,1,-0.0004,1.0078
562,34037,8.70,89,1,-0.0004,1.0078
563,34091,4.30,54,0,-0.0004,1.0078
564,34193,10.90,102,2,-0.0004,1.0078
565,34315,12.90,122,2,-0.0004,1.0078
566,34373,4.70,58,0,-0.0004,1.0078
567,34433,4.90,60,0,-0.0004,1.0078
568,34488,4.40,55,0,-0.0004,1.0078
569,34580,9.00,92,1,-0.0004,1.0078
570,34668,8.60,88,1,-0.0004,1.0078
571,34719,4.00,51,0,-0.0004,1.0078
572,34786,6.50,67,1,-0.0004,1.0078
573,34872,8.40,86,1,-0.0027,0.9635
574,34958,8.40,86,1,-0.0027,0.9635
575,35092,15.00,134,3,-0.0027,0.9635
576,35186,9.20,94,1,-0.0027,0.9635
577,35272,8.40,86,1,-0.0027,0.9635
578,35358,8.40,86,1,-0.0027,0.9635
579,35408,3.90,50,0,-0.0027,0.9635
580,35464,4.50,56,0,-0.0027,0.9635
581,35517,4.20,53,0,-0.0027,0.9635
